@(17, 0x00000010, 0x00000010, 1.15382e-05, 0.0)
@(17, 0x00000020, 0x00000020, -1.78032e-05, 0.0)
@(17, 0x00000040, 0x00000040, -8.0932e-06, 0.0)
@(17, 0x00000080, 0x00000080, -2.26395e-05, 0.0)
@(18, 0x10000000, 0x01000000, 2.15713e-05, 0.0)
@(18, 0x20000000, 0x02000000, 6.8275e-06, 0.0)
@(18, 0x40000000, 0x04000000, 2.6748e-06, 0.0)
@(18, 0x80000000, 0x08000000, -1.30534e-05, 0.0)
@(18, 0x01000000, 0x10000000, -6.4149e-06, 0.0)
@(18, 0x02000000, 0x20000000, 1.50092e-05, 0.0)
@(18, 0x04000000, 0x40000000, -4.001e-06, 0.0)
@(18, 0x08000000, 0x80000000, -3.9078e-06, 0.0)
@(18, 0x00100000, 0x00100000, 1.61678e-05, 0.0)
@(18, 0x00200000, 0x00200000, 6.2669e-06, 0.0)
@(18, 0x00400000, 0x00400000, 3.0193e-06, 0.0)
@(18, 0x00800000, 0x00800000, 1.71214e-05, 0.0)
@(18, 0x00001000, 0x00000100, 2.15713e-05, 0.0)
@(18, 0x00002000, 0x00000200, 6.8275e-06, 0.0)
@(18, 0x00004000, 0x00000400, 2.6748e-06, 0.0)
@(18, 0x00008000, 0x00000800, -1.30534e-05, 0.0)
@(18, 0x00000100, 0x00001000, -6.4149e-06, 0.0)
@(18, 0x00000200, 0x00002000, 1.50092e-05, 0.0)
@(18, 0x00000400, 0x00004000, -4.001e-06, 0.0)
@(18, 0x00000800, 0x00008000, -3.9078e-06, 0.0)
@(18, 0x00000010, 0x00000010, 1.61678e-05, 0.0)
@(18, 0x00000020, 0x00000020, 6.2669e-06, 0.0)
@(18, 0x00000040, 0x00000040, 3.0193e-06, 0.0)
@(18, 0x00000080, 0x00000080, 1.71214e-05, 0.0)
@(19, 0x10000000, 0x01000000, 2.8685e-06, 0.0)
@(19, 0x20000000, 0x02000000, 2.76547e-05, 0.0)
@(19, 0x40000000, 0x04000000, -2.25957e-05, 0.0)
@(19, 0x80000000, 0x08000000, 8.7302e-06, 0.0)
@(19, 0x01000000, 0x10000000, 1.65291e-05, 0.0)
